// gr-dict 1.0
// Unidirectional mapping of different dialect words to their Australian spelling.
//
// @type = one-to-one
// @case-sensitive = false
// @dialect-sensitive = true
// @tags = dialect

// l => ll (in word forms)

grayer ~ greyer
grayest ~ greyest
graying ~ greying
grayish ~ greyish
grayness ~ greyness
grays ~ greys
hauler ~ haulier
haulers ~ hauliers
impanel ~ empanel
impaneled ~ empanelled
impaneling ~ empanelling
impanels ~ empanels
jewelry ~ jewellery
kidnaped ~ kidnapped
leaped ~ leapt
louvered ~ louvred
lustered ~ lustred
lustering ~ lustring
meagerest ~ meagrest
mitered ~ mitred
mitering ~ mitring
mollusk ~ mollusc
mollusks ~ molluscs
mustache ~ moustache
mustached ~ moustached
mustaches ~ moustaches
mustachioed ~ moustachioed
nought ~ naught
omelet ~ omelette
omelets ~ omelettes
pajama ~ pyjama
pajamas ~ pyjamas
philtered ~ philtred
philtering ~ philtring
plow ~ plough
plowboy ~ ploughboy
plowboys ~ ploughboys
plowed ~ ploughed
plower ~ plougher
plowers ~ ploughers
plowgirl ~ ploughgirl
plowgirls ~ ploughgirls
plowing ~ ploughing
plowings ~ ploughings
plowland ~ ploughland
plowlands ~ ploughlands
plowman ~ ploughman
plowmen ~ ploughmen
plows ~ ploughs
plowshare ~ ploughshare
plowshares ~ ploughshares
plowwoman ~ ploughwoman
plowwomen ~ ploughwomen
plowwright ~ ploughwright
plowwrights ~ ploughwrights
practiced ~ practised
practicing ~ practising
reconnoitered ~ reconnoitred
reconnoitering ~ reconnoitring
reconnoiterings ~ reconnoitrings
sanitizer ~ sanitiser
sanitizers ~ sanitisers
sceptered ~ sceptred
sceptering ~ sceptring
sepulchered ~ sepulchred
sepulchering ~ sepulchring
skeptic ~ sceptic
skeptical ~ sceptical
skeptically ~ sceptically
skepticism ~ scepticism
skepticisms ~ scepticisms
skepticist ~ scepticist
skepticists ~ scepticists
skeptics ~ sceptics
snowplow ~ snowplough
snowplowed ~ snowploughed
snowplowing ~ snowploughing
snowplows ~ snowploughs
somberer ~ sombrer
somberest ~ sombrest
transshipment ~ transhipment
worshiped ~ worshipped
worshiping ~ worshipping
yoghourt ~ yoghurt
yoghourts ~ yoghurts
//yoghourt ~ yoghurt, yogurt
//yoghourts ~ yoghurts, yogurts

//

//	both are possible
//abridgment ~ abridgement
//abridgments ~ abridgements
//acknowledgment ~ acknowledgement
//acknowledgments ~ acknowledgements
//aerogram ~ aerogramme
//aerograms ~ aerogrammes
//aging ~ ageing
//agings ~ ageings
//almanac ~ almanack
//almanacs ~ almanacks
//analog ~ analogue
//annex ~ annexe
//arbores ~ arbours
//artifact ~ artefact
//artifacts ~ artefacts
//backward ~ backwards
//balk ~ baulk
//balked ~ baulked
//balking ~ baulking
//balks ~ baulks
//banister ~ bannister
//banisters ~ bannisters
//bevies ~ bevvies
//bevy ~ bevvy
//cipher ~ cypher
//ciphers ~ cyphers
//clarinetist ~ clarinettist
//clarinetists ~ clarinettists
//collectible ~ collectable
//collectibles ~ collectables
//conjuror ~ conjurer
//cosied ~ cozied
//cosier ~ cozier
//cosies ~ cozies
//cosiest ~ coziest
//cosily ~ cozily
//cosiness ~ coziness
//cosy ~ cozy
//cosying ~ cozying
//dike ~ dyke
//diked ~ dyked
//dikes ~ dykes
//fledgling ~ fledgeling
//fledglings ~ fledgelings
//gluing ~ glueing
//griffin ~ gryphon
//griffins ~ gryphons
//gypsies ~ gipsies
//gypsy ~ gipsy
//inflection ~ inflexion
//inflections ~ inflexions
//licorice ~ liquorice
//licorices ~ liquorices
//likable ~ likeable
//manoeuvrability ~ maneuverability
//manoeuvrable ~ maneuverable
//manoeuvre ~ maneuver
//manoeuvred ~ maneuvered
//manoeuvres ~ maneuvers
//manoeuvring ~ maneuvering
//manoeuvrings ~ maneuverings
//mementos ~ mementoes
//minibusses ~ minibuses
//misspelled ~ misspelt
//outmanoeuvre ~ outmaneuver
//outmanoeuvred ~ outmaneuvered
//outmanoeuvres ~ outmaneuvers
//outmanoeuvring ~ outmaneuvering
//phony ~ phoney
//polyethylene ~ polyethene
//pouf ~ pouffe
//poufs ~ pouffes
//quire ~ choir
//quired ~ choired
//quires ~ choirs
//quiring ~ choiring
//raccoon ~ racoon
//raccoons ~ racoons
//retroflection ~ retroflexion
//retroflections ~ retroflexions
//selvage ~ selvedge
//selvages ~ selvedges
//sheik ~ sheikh
//sheiks ~ sheikhs
//siphon ~ syphon
//siphoned ~ syphoned
//siphoning ~ syphoning
//siphons ~ syphons
//sled ~ sledge
//sledded ~ sledged
//sledding ~ sledging
//sleddings ~ sledgings
//sleds ~ sledges
//specialties ~ specialities
//specialty ~ speciality
//spelled ~ spelt
//spilled ~ spilt
//tableting ~ tabletting
//   e => oe, e => ae
//ameba ~ amoeba
//anemia ~ anaemia
//anemias ~ anaemias
//anemic ~ anaemic
//anesthesia ~ anaesthesia
//anesthesias ~ anaesthesias
//anesthetic ~ anaesthetic
//anesthetics ~ anaesthetics
//anesthetist ~ anaesthetist
//anesthetists ~ anaesthetists
//anesthetize ~ anaesthetize
//anesthetized ~ anaesthetized
//anesthetizes ~ anaesthetizes
//anesthetizing ~ anaesthetizing
//archeological ~ archaeological
//archeologically ~ archaeologically
//archeologist ~ archaeologist
//archeologists ~ archaeologists
//archeology ~ archaeology
//bougainvillea ~ bougainvillaea
//bougainvilleas ~ bougainvillaeas
//cesium ~ caesium
//chimera ~ chimaera
//chimeras ~ chimaeras
//cyclopedia ~ cyclopaedia
//diarrhea ~ diarrhoea
//diarrheas ~ diarrhoeas
//edema ~ oedema
//edemata ~ oedemata
//enology ~ oenology
//eon ~ aeon
//eons ~ aeons
//esophageal ~ oesophagal
//esophagoscope ~ oesophagoscope
//esophagus ~ oesophagus
//estrous ~ oestrous
//etiology ~ aetiology
//fecal ~ faecal
//feces ~ faeces
//gonorrhea ~ gonorrhoea
//gonorrheas ~ gonorrhoeas
//gynecological ~ gynaecological
//gynecologies ~ gynaecologies
//gynecologist ~ gynaecologist
//gynecologists ~ gynaecologists
//gynecology ~ gynaecology
//hematein ~ haematein
//hemateins ~ haemateins
//hematological ~ haematological
//hematologist ~ haematologist
//hematologists ~ haematologists
//hematology ~ haematology
//hemoglobin ~ haemoglobin
//hemoglobins ~ haemoglobins
//hemophilia ~ haemophilia
//hemophiliac ~ haemophiliac
//hemophiliacs ~ haemophiliacs
//hemorrhage ~ haemorrhage
//hemorrhaged ~ haemorrhaged
//hemorrhages ~ haemorrhages
//hemorrhaging ~ haemorrhaging
//hemorrhoid ~ haemorrhoid
//hemorrhoids ~ haemorrhoids
//heydey ~ heyday
//heydeys ~ heydays
//homeopath ~ homoeopath
//homeopathic ~ homoeopathic
//homeopaths ~ homoeopaths
//homeopathy ~ homoeopathy
//leukemia ~ leukaemia
//leukemias ~ leukaemias
//menorrhea ~ menorrhoea
//orthopedic ~ orthopaedic
//orthopedics ~ orthopaedics
//paleobotany ~ palaeobotany
//paleocene ~ palaeocene
//paleoclimatology ~ palaeoclimatology
//paleogeography ~ palaeogeography
//paleographies ~ palaeographies
//paleography ~ palaeography
//paleolithic ~ palaeolithic
//paleomagnetism ~ palaeomagnetism
//paleontologist ~ palaeontologist
//paleontologists ~ palaeontologists
//paleontology ~ palaeontology
//paleozoic ~ palaeozoic
//pederast ~ paederast
//pederasts ~ paederasts
//pediatrician ~ paediatrician
//pediatricians ~ paediatricians
//pediatrics ~ paediatrics
//pedophile ~ paedophile
//pedophiles ~ paedophiles
//pedophilia ~ paedophilia
//pharmacopeia ~ pharmacopoeia
//pharmacopeias ~ pharmacopoeias
//presidium ~ praesidium
//presidiums ~ praesidiums
//primeval ~ primaeval
//toxemia ~ toxaemia
//toxemias ~ toxaemias
//karat ~ carat
//karats ~ carats
