// gr-dict 1.0
// Unidirectional mapping of different dialect words to their Canadian spelling.
//
// @type = one-to-one
// @case-sensitive = false
// @dialect-sensitive = true
// @tags = dialect

// o => ou (color => colour, mold => mould)

hydrosulfites ~ hydrosulphites
pyrosulfite ~ pyrosulphite
pyrosulfites ~ pyrosulphites
sulfate ~ sulphate
sulfated ~ sulphated
sulfates ~ sulphates
sulfating ~ sulphating
sulfide ~ sulphide
sulfides ~ sulphides
sulfite ~ sulphite
sulfites ~ sulphites
sulfur ~ sulphur
sulfured ~ sulphured
sulfuring ~ sulphuring
sulfurous ~ sulphurous
sulfurs ~ sulphurs

// silent e

aging ~ ageing
agings ~ ageings
ax ~ axe
battleax ~ battleaxe

// gue => g

catalog ~ catalogue
catalogs ~ catalogues
dialog ~ dialogue
dialogs ~ dialogues
epilog ~ epilogue
epilogs ~ epilogues
monolog ~ monologue
monologs ~ monologues
prolog ~ prologue
prologs ~ prologues
travelog ~ travelogue
travelogs ~ travelogues

// ll => l in lexems

instal ~ install
instaled ~ installed
instaling ~ installing

// hyphenated

north-easts ~ northeasts
north-west ~ northwest
north-wests ~ northwests
south-east ~ southeast
south-easts ~ southeasts
south-west ~ southwest
south-wests ~ southwests

// other

almanack ~ almanac
almanacks ~ almanacs
aluminium ~ aluminum
archepiscopal ~ archiepiscopal
artefact ~ artifact
artefacts ~ artifacts
atishoo ~ achoo
atishoos ~ achoos
baulk ~ balk
baulked ~ balked
baulking ~ balking
baulks ~ balks
behove ~ behoove
behoved ~ behooved
behoves ~ behooves
behoving ~ behooving
bevvies ~ bevies
bevvy ~ bevy
carcase ~ carcass
carcases ~ carcasses
centered ~ centred
centering ~ centring
centerings ~ centrings
checkbook ~ chequebook
checkbooks ~ chequebooks
collonaded ~ colonnaded
compleat ~ complete
compleated ~ completed
compleater ~ completer
compleaters ~ completers
compleates ~ completes
compleatest ~ completest
compleating ~ completing
cosied ~ cozied
cosier ~ cozier
cosies ~ cozies
cosiest ~ coziest
cosily ~ cozily
cosiness ~ coziness
cosy ~ cozy
cosying ~ cozying
doodah ~ doodad
doodahs ~ doodads
empanel ~ impanel
empanelled ~ impanelled
empanelling ~ impanelling
empanels ~ impanels
gaol ~ jail
gaolbird ~ jailbird
gaolbirds ~ jailbirds
gaolbreak ~ jailbreak
gaolbreaking ~ jailbreaking
gaolbreaks ~ jailbreaks
gaolbroke ~ jailbroke
gaolbroken ~ jailbroken
gaoled ~ jailed
gaoler ~ jailer
gaolers ~ jailers
gaoling ~ jailing
gaolings ~ jailings
gaols ~ jails
gipsies ~ gypsies
gipsy ~ gypsy
gryphon ~ griffin
gryphons ~ griffins
haulier ~ hauler
hauliers ~ haulers
inflexion ~ inflection
inflexions ~ inflections
kerb ~ curb
kerbed ~ curbed
kerbing ~ curbing
kerbings ~ curbings
kerbs ~ curbs
liquorice ~ licorice
liquorices ~ licorices
louvered ~ louvred
lustred ~ lustered
lustring ~ lustering
meagrest ~ meagerest
metred ~ metered
metring ~ metering
nett ~ net
pajama ~ pyjama
pajamas ~ pyjamas
philtred ~ philtered
philtring ~ philtering
prefered ~ preferred
prefereds ~ preferreds
racoon ~ raccoon
racoons ~ raccoons
reconnoitered ~ reconnoitred
reconnoitering ~ reconnoitring
reconnoiterings ~ reconnoitrings
retroflection ~ retroflexion
