// gr-dict 1.0
// Unidirectional mapping of different dialect words to their American spelling.
//
// @type = one-to-one
// @case-sensitive = false
// @dialect-sensitive = true
// @tags = dialect

// ou => o (colour => color, mould => mold)

titre ~ titer
titres ~ titers

// oe => e, ae => e

abetalipoproteinaemia ~ abetalipoproteinemia
aeon ~ eon
aeons ~ eons
aetiology ~ etiology
agammaglobulinaemia ~ agammaglobulinemia
albuminaemia ~ albuminemia
alcoholaemia ~ alcoholemia
anaemia ~ anemia
anaemias ~ anemias
anaemic ~ anemic
anaesthesia ~ anesthesia
anaesthesias ~ anesthesias
anaesthetic ~ anesthetic
anaesthetics ~ anesthetics
anaesthetist ~ anesthetist
anaesthetists ~ anesthetists
anaesthetize ~ anesthetize
anaesthetized ~ anesthetized
anaesthetizes ~ anesthetizes
anaesthetizing ~ anesthetizing
anoxaemia ~ anoxemia
antigenaemia ~ antigenemia
antileukaemic ~ antileukemic
azotaemia ~ azotemia
bacteraemia ~ bacteremia
bougainvillaea ~ bougainvillea
bougainvillaeas ~ bougainvilleas
caesium ~ cesium
carboxyhaemoglobin ~ carboxyhemoglobin
caesarean ~ cesarean
chimaera ~ chimera
chimaeras ~ chimeras
chimaeric ~ chimeric
cholesterolaemia ~ cholesterolemia
cryoglobulinaemia ~ cryoglobulinemia
cyclopaedia ~ cyclopedia
deoxyhaemoglobin ~ deoxyhemoglobin
diarrhoea ~ diarrhea
diarrhoeas ~ diarrheas
dysbetalipoproteinaemia ~ dysbetalipoproteinemia
dyslipidaemia ~ dyslipidemia
encyclopaedia ~ encyclopedia
encyclopaediae ~ encyclopediae
encyclopaedias ~ encyclopedias
encyclopaedic ~ encyclopedic
endotoxaemia ~ endotoxemia
euglycaemia ~ euglycemia
faecal ~ fecal
faeces ~ feces
foetal ~ fetal
foetid ~ fetid
foetus ~ fetus
foetuses ~ fetuses
fungaemia ~ fungemia
galactosaemia ~ galactosemia
glycaemia ~ glycemia
gonorrhoea ~ gonorrhea
gonorrhoeas ~ gonorrheas
gynaecological ~ gynecological
gynaecologies ~ gynecologies
gynaecologist ~ gynecologist
gynaecologists ~ gynecologists
gynaecology ~ gynecology
haematein ~ hematein
haemateins ~ hemateins
haematocele ~ hematocele
haematocrit ~ hematocrit
haematocrits ~ hematocrits
haematogenous ~ hematogenous
haematological ~ hematological
haematologist ~ hematologist
haematologists ~ hematologists
haematology ~ hematology
haematoma ~ hematoma
haematomas ~ hematomas
haematophagous ~ hematophagous
haematopoiesis ~ hematopoiesis
haematopoietic ~ hematopoietic
haematoxylin ~ hematoxylin
haematoxylins ~ hematoxylins
haemochromatosis ~ hemochromatosis
haemocoel ~ hemocoel
haemocyanin ~ hemocyanin
haemocyte ~ hemocyte
haemocytes ~ hemocytes
haemocytometer ~ hemocytometer
haemodialyses ~ hemodialyses
haemodialysis ~ hemodialysis
haemodynamic ~ hemodynamic
haemodynamically ~ hemodynamically
haemodynamics ~ hemodynamics
haemogenic ~ hemogenic
haemoglobin ~ hemoglobin
haemoglobinopathies ~ hemoglobinopathies
haemoglobinopathy ~ hemoglobinopathy
haemoglobins ~ hemoglobins
haemoglobinuria ~ hemoglobinuria
haemoglobinurias ~ hemoglobinurias
haemolymph ~ hemolymph
haemolysate ~ hemolysate
haemolysin ~ hemolysin
haemolysins ~ hemolysins
haemolysis ~ hemolysis
haemolytic ~ hemolytic
haemophilia ~ hemophilia
haemophiliac ~ hemophiliac
haemophiliacs ~ hemophiliacs
haemophilic ~ hemophilic
haemophobia ~ hemophobia
haemopoiesis ~ hemopoiesis
haemopoietic ~ hemopoietic
haemoprotein ~ hemoprotein
haemoproteins ~ hemoproteins
haemoptysis ~ hemoptysis
haemorrhage ~ hemorrhage
haemorrhaged ~ hemorrhaged
haemorrhages ~ hemorrhages
haemorrhagic ~ hemorrhagic
haemorrhaging ~ hemorrhaging
haemorrhoid ~ hemorrhoid
haemorrhoids ~ hemorrhoids
haemostasis ~ hemostasis
haemostat ~ hemostat
haemostatic ~ hemostatic
haemostats ~ hemostats
haemotoxylin ~ hemotoxylin
haemozoin ~ hemozoin
histidinaemia ~ histidinemia
homoeopath ~ homeopath
homoeopathic ~ homeopathic
homoeopaths ~ homeopaths
homoeopathy ~ homeopathy
homoeostasis ~ homeostasis
hydraemia ~ hydremia
hyperaemia ~ hyperemia
hyperbilirubinaemia ~ hyperbilirubinemia
hypercalcaemia ~ hypercalcemia
hypercholesteraemia ~ hypercholesteremia
hypercholesterolaemia ~ hypercholesterolemia
hyperglycaemia ~ hyperglycemia
hyperhomocysteinaemia ~ hyperhomocysteinemia
hyperinsulinaemia ~ hyperinsulinemia
hyperkalaemia ~ hyperkalemia
hyperlipidaemia ~ hyperlipidemia
hyperlipoproteinaemia ~ hyperlipoproteinemia
hyperprolactinaemia ~ hyperprolactinemia
hypertriglyceridaemia ~ hypertriglyceridemia
hyperuricaemia ~ hyperuricemia
hypervolaemia ~ hypervolemia
hypoalbuminaemia ~ hypoalbuminemia
hypocalcaemia ~ hypocalcemia
hypogammaglobulinaemia ~ hypogammaglobulinemia
hypoglycaemia ~ hypoglycemia
hypoinsulinaemia ~ hypoinsulinemia
hypomagnesaemia ~ hypomagnesemia
hyponatraemia ~ hyponatremia
hypophosphataemia ~ hypophosphatemia
hypouricaemia ~ hypouricemia
hypoxaemia ~ hypoxemia
insulinaemia ~ insulinemia
ischaemia ~ ischemia
ketonaemia ~ ketonemia
leukaemia ~ leukemia
leukaemias ~ leukemias
leukaemic ~ leukemic
leukaemogenesis ~ leukemogenesis
macroglobulinaemia ~ macroglobulinemia
mediaeval ~ medieval
mediaevals ~ medievals
menorrhoea ~ menorrhea
methaemoglobin ~ methemoglobin
methaemoglobinaemia ~ methemoglobinaemia
methemoglobinaemia ~ methemoglobinemia
