// gr-dict 1.0
// Unidirectional transformation from British spelled words to their American
// counterparts. Note that this dictionary doesn't allow for 100% reliable
// tranformation as it doesn't contain many compound words.
//
// @type = one-to-one
// @case-sensitive = false
// @dialect-sensitive = true
// @tags = dialect

psychoanalysing ~ psychoanalyzing
psychoanalyses ~ psychoanalyzes
psychoanalysed ~ psychoanalyzed
psychoanalyse ~ psychoanalyze
proselytising ~ proselytizing
proselytises ~ proselytizes
proselytisers ~ proselytizers
proselytiser ~ proselytizer
proselytised ~ proselytized
proselytise ~ proselytize
propagandising ~ propagandizing
propagandises ~ propagandizes
propagandised ~ propagandized
propagandise ~ propagandize
prologues ~ prologs
prologue ~ prolog
programmes ~ programs
programme ~ program
professionalising ~ professionalizing
professionalises ~ professionalizes
professionalised ~ professionalized
professionalise ~ professionalize
professionalisation ~ professionalization
privatising ~ privatizing
privatises ~ privatizes
privatised ~ privatized
privatise ~ privatize
privatisations ~ privatizations
privatisation ~ privatization
prioritising ~ prioritizing
prioritises ~ prioritizes
prioritised ~ prioritized
prioritise ~ prioritize
prioritisation ~ prioritization
primaeval ~ primeval
pretences ~ pretenses
pretence ~ pretense
pressurising ~ pressurizing
pressurises ~ pressurizes
pressurised ~ pressurized
pressurise ~ pressurize
pressurisations ~ pressurizations
pressurisation ~ pressurization
praesidiums ~ presidiums
praesidium ~ presidium
//praesidia presidia
prefereds ~ preferreds
prefered ~ preferred
practising ~ practicing
practises ~ practices
practised ~ practiced
practise ~ practice
pouffes ~ poufs
pouffe ~ pouf
popularising ~ popularizing
popularises ~ popularizes
popularised ~ popularized
popularise ~ popularize
popularisations ~ popularizations
popularisation ~ popularization
polymerising ~ polymerizing
polymerises ~ polymerizes
polymerised ~ polymerized
polymerise ~ polymerize
polymerisable ~ polymerizable
//polyethenes polyethylenes
polyethene ~ polyethylene
politicising ~ politicizing
politicises ~ politicizes
politicised ~ politicized
politicise ~ politicize
politicisation ~ politicization
polarising ~ polarizing
polarises ~ polarizes
polarised ~ polarized
polarise ~ polarize
polarisations ~ polarizations
polarisation ~ polarization
ploughshares ~ plowshares
ploughshare ~ plowshare
ploughs ~ plows
ploughmen ~ plowmen
ploughman ~ plowman
ploughing ~ plowing
ploughed ~ plowed
plough ~ plow
plasticisers ~ plasticizers
plasticiser ~ plasticizer
plagiarising ~ plagiarizing
plagiarises ~ plagiarizes
plagiarised ~ plagiarized
plagiarise ~ plagiarize
phoney ~ phony
philtres ~ philters
philtring ~ philtering
philtred ~ philtered
philtre ~ philter
philosophising ~ philosophizing
philosophises ~ philosophizes
philosophised ~ philosophized
philosophise ~ philosophize
pharmacopoeias ~ pharmacopeias
pharmacopoeia ~ pharmacopeia
personalising ~ personalizing
personalises ~ personalizes
personalised ~ personalized
personalise ~ personalize
pernickety ~ persnickety
pencilling ~ penciling
pencilled ~ penciled
penalising ~ penalizing
penalises ~ penalizes
penalised ~ penalized
penalise ~ penalize
//paedophilias pedophilias
paedophilia ~ pedophilia
paedophiles ~ pedophiles
paedophile ~ pedophile
paediatrics ~ pediatrics
paediatricians ~ pediatricians
paediatrician ~ pediatrician
paediatric ~ pediatric
pedestrianising ~ pedestrianizing
pedestrianises ~ pedestrianizes
pedestrianised ~ pedestrianized
pedestrianise ~ pedestrianize
pedestrianisation ~ pedestrianization
paederasts ~ pederasts
paederast ~ pederast
pedalling ~ pedaling
pedalled ~ pedaled
paedagogy ~ pedagogy
paedagogies ~ pedagogies
patronisingly ~ patronizingly
patronising ~ patronizing
patronises ~ patronizes
patronised ~ patronized
patronise ~ patronize
pasteurising ~ pasteurizing
pasteurises ~ pasteurizes
pasteurised ~ pasteurized
pasteurise ~ pasteurize
pasteurisation ~ pasteurization
passivising ~ passivizing
passivises ~ passivizes
passivised ~ passivized
passivise ~ passivize
passivisations ~ passivizations
passivisation ~ passivization
particularising ~ particularizing
particularises ~ particularizes
particularised ~ particularized
particularise ~ particularize
parlours ~ parlors
parlour ~ parlor
parcelling ~ parceling
paralysing ~ paralyzing
paralyses ~ paralyzes
paralysed ~ paralyzed
paralyse ~ paralyze
//panti-hoses pantyhoses
//panti-hose pantyhose
panellists ~ panelists
panellist ~ panelist
panelling ~ paneling
panelled ~ paneled
palaeozoic ~ paleozoic
palaeontology ~ paleontology
palaeontologists ~ paleontologists
palaeontologist ~ paleontologist
palaeomagnetism ~ paleomagnetism
palaeolithic ~ paleolithic
palaeography ~ paleography
