// gr-dict 1.0
// Unidirectional transformation from American-spelled words to their British
// counterparts. Note that this dictionary doesn't allow for 100% reliable
// tranformation as it doesn't contain many compound words.
//
// @type = one-to-one
// @case-sensitive = false
// @dialect-sensitive = true
// @tags = dialect

neurons ~ neurones
neuron ~ neurone
neighbors ~ neighbours
neighborly ~ neighbourly
neighborliness ~ neighbourliness
//neighborliest neighbourliest
//neighborlier neighbourlier
neighboring ~ neighbouring
neighborhoods ~ neighbourhoods
neighborhood ~ neighbourhood
neighbor ~ neighbour
nebulizers ~ nebulisers
nebulizer ~ nebuliser
naught ~ nought
naturalizing ~ naturalising
naturalizes ~ naturalises
naturalized ~ naturalised
naturalize ~ naturalise
naturalizations ~ naturalisations
naturalization ~ naturalisation
nationalizing ~ nationalising
nationalizes ~ nationalises
nationalized ~ nationalised
nationalize ~ nationalise
nationalizations ~ nationalisations
nationalization ~ nationalisation
mustachioed ~ moustachioed
mustaches ~ moustaches
mustached ~ moustached
mustache ~ moustache
multicolored ~ multicoloured
multicolor ~ multicolour
motorizing ~ motorising
motorizes ~ motorises
motorized ~ motorised
motorize ~ motorise
moralizing ~ moralising
moralizes ~ moralises
moralized ~ moralised
moralize ~ moralise
monopolizing ~ monopolising
monopolizes ~ monopolises
monopolized ~ monopolised
monopolize ~ monopolise
monopolization ~ monopolisation
monologs ~ monologues
monolog ~ monologue
moms ~ mums
mom ~ mum
molts ~ moults
molting ~ moulting
molted ~ moulted
molt ~ moult
mollusks ~ molluscs
mollusk ~ mollusc
moldy ~ mouldy
molds ~ moulds
moldings ~ mouldings
molding ~ moulding
moldiest ~ mouldiest
moldier ~ mouldier
molders ~ moulders
moldering ~ mouldering
moldered ~ mouldered
molder ~ moulder
molded ~ moulded
mold ~ mould
moisturizing ~ moisturising
moisturizes ~ moisturises
moisturizers ~ moisturisers
moisturizer ~ moisturiser
moisturized ~ moisturised
moisturize ~ moisturise
modernizing ~ modernising
modernizes ~ modernises
modernized ~ modernised
modernize ~ modernise
modelings ~ modellings
modeling ~ modelling
modelers ~ modellers
modeler ~ modeller
modeled ~ modelled
mobilizing ~ mobilising
mobilizes ~ mobilises
mobilized ~ mobilised
mobilize ~ mobilise
mobilizations ~ mobilisations
mobilization ~ mobilisation
miters ~ mitres
mitering ~ mitring
mitered ~ mitred
miter ~ mitre
misspelled ~ misspelt
misjudgments ~ misjudgements
misjudgment ~ misjudgement
misdemeanors ~ misdemeanours
misdemeanor ~ misdemeanour
misbehaviors ~ misbehaviours
misbehavior ~ misbehaviour
minimizing ~ minimising
minimizes ~ minimises
minimized ~ minimised
minimize ~ minimise
